ID,County,State,LandArea,TotalPop,TotalSeriousCrime,PercHS,PercBach,PercPov,PercUnemp,PerCapInc,TotalInc,Region
100,Lake,IN,497,475594,29926,73.5,12.8,11.7,7.1,16327,7765,2
101,Onondaga,NY,780,468973,23249,80.7,24.4,7.1,5.6,19401,9099,1
102,Denver,CO,153,467610,37466,79.2,29,13.1,5.4,22156,10360,4
103,Snohomish,WA,2090,465642,20323,85.7,19.3,4.9,5.6,18545,8635,4
104,Lucas,OH,340,462361,38194,76.2,17,12,8.8,17815,8237,2
105,Hampden,MA,619,456310,24247,73.6,17.6,10.9,9.6,19073,8703,1
106,Passaic,NJ,185,453060,26434,68.8,18.7,7.6,8.1,21973,9955,1
107,Jefferson,LA,306,448306,41625,76,18.8,11.4,5.6,17101,7666,3
108,Cobb,GA,340,447745,27582,85.8,33,3.8,4.1,21933,9820,3
109,New_Castle,DE,426,441946,27717,80.6,25.2,5,6.2,22284,9848,1
110,Jefferson,CO,772,438430,23453,89.8,30.7,4.1,4.1,20997,9206,4
111,Plymouth,MA,661,435276,14846,83.8,22.2,5.3,10.4,21500,9358,1
112,Ocean,NJ,636,433203,17379,74.9,15.3,4.3,7.4,20974,9086,1
113,Genesee,MI,640,430459,33136,76.8,12.8,14,12.6,16829,7244,2
114,Anne_Arundel,MD,416,427239,21826,81.1,24.6,3,5,22797,9740,3
115,Wake,NC,834,423380,26006,85.4,35.3,5.5,3.5,20658,8746,3
116,Lancaster,PA,949,422822,13086,70.5,16.7,5.3,5.3,18878,7982,1
117,Morris,NJ,469,421353,12147,87,36.7,1.8,5.1,31520,13281,1
118,Douglas,NE,331,416444,26006,84.5,24.9,8.1,2.9,19629,8174,2
119,Polk,FL,1875,405382,37290,68,12.9,9.4,10.1,14835,6014,3
120,Sedgwick,KS,1000,403662,34071,82.4,22.2,8.3,4.5,19276,7781,2
121,Brevard,FL,1019,398978,23686,82.3,20.4,6.3,7.1,17668,7049,3
122,El_Paso,CO,2127,397014,25234,88.3,25.8,8.1,6.1,16807,6673,4
123,St._Louis_City,MO,62,396685,64103,62.8,15.3,20.6,9,18113,7185,2
124,Burlington,NJ,805,395066,13034,81.9,23.6,3.1,5.6,23008,9090,1
125,VA_Beach_City,VA,248,393069,23412,88,25.5,4.3,5.4,17697,6956,3
126,Arapahoe,CO,803,391511,27587,91.5,35.2,4.4,3.9,22507,8812,4
127,Sonoma,CA,1576,388222,18556,84.4,24.5,5.2,5.7,22055,8562,4
128,Hidalgo,TX,1569,383545,26712,46.6,11.5,36.3,17.6,8899,3413,3
129,East_Baton_Rouge,LA,456,380105,41592,80.5,27.5,15.1,5.4,17881,6797,3
130,Mobile,AL,1233,378643,30409,70.1,15.5,17.5,7.2,14389,5448,3
131,Chester,PA,756,376396,9491,84.9,34.7,3,4.6,24732,9309,1
132,Volusia,FL,1106,370712,25736,75.4,14.8,7.9,6.9,15648,5801,3
133,Stanislaus,CA,1495,370522,25461,68.4,13,11.4,14.3,15238,5646,4
134,Westmoreland,PA,1023,370321,7445,77.7,15.4,8.6,6.9,17069,6321,1
135,Santa_Barbara,CA,2739,369608,18313,80,26.6,7.4,6,21902,8095,4
136,Stark,OH,576,367585,17466,76,14.3,8.9,6.9,16898,6211,2
137,Dane,WI,1202,367085,20344,88.9,34.2,4.8,3.1,20087,7374,2
138,Spokane,WA,1764,361364,20042,84.4,20.6,9.8,6.2,16365,5914,4
139,Will,IL,837,357313,16432,80.4,18,4.5,7.4,18787,6713,2
140,Monterey,CA,3322,355660,17870,72.9,21.5,8.5,10.9,19465,6923,4
141,Johnson,KS,477,355054,15238,92.9,40.5,2.5,3.3,26156,9287,2
142,Gwinnett,GA,433,352910,17119,86.7,29.6,2.9,4,19861,7009,3
143,Pulaski,AR,771,349660,42404,79,23.5,10.5,5.8,18225,6373,3
144,Guilford,NC,650,347420,28212,76.1,24.8,7.3,5.4,20349,7070,3
145,Solano,CA,828,340421,21756,82.7,18.7,6,7,17268,5878,4
146,York,PA,905,339574,11292,72.8,13.9,4.3,6.2,19502,6622,1
147,Berks,PA,859,336523,12827,70,15.1,5.2,6.7,19655,6614,1
148,Hillsborough,NH,877,336073,12843,82.2,26.4,4,7.5,22581,7589,1
149,Knox,TN,509,335749,22422,74.6,23.9,10.2,4.6,17382,5836,3
150,Lee,FL,804,335113,18442,76.9,16.4,6.1,6.4,18877,6326,3
151,Luzerne,PA,891,328149,4982,72,13.1,8.3,8.8,16405,5383,1
152,Mercer,NJ,226,325824,20153,77.1,29.5,5.3,5.5,26026,8480,1
153,Greenville,SC,792,320167,20504,71.6,21,7.8,4.9,17874,5723,3
154,Kane,IL,521,317471,16721,77.7,21.4,5,7.5,21684,6884,2
155,Tulare,CA,4824,311921,19489,60.2,11.8,18,17.1,14710,4588,4
156,Washington,OR,724,311554,12630,88.2,29.8,4.8,4.4,19932,6210,4
157,Orange,NY,816,307647,10975,77.2,19.5,6.4,6.7,19788,6088,1
158,Waukesha,WI,556,304715,8935,88,27.1,2.2,4.1,23004,7010,2
159,Allen,IN,657,300836,19842,81.2,19,5.6,5.9,19123,5753,2
160,Charleston,SC,917,295039,28190,75.5,22.4,13.8,4.9,16015,4725,3
161,Albany,NY,524,292594,15077,80.9,28.3,6,4.5,21003,6145,1
162,Butler,OH,467,291479,13850,76,18.7,7.6,6.6,16750,4882,2
163,Nueces,TX,836,291145,28606,68.9,17,17.2,7.7,15124,4403,3
164,Lehigh,PA,347,291130,12254,74.6,19.6,4.9,6.6,19785,5760,1
165,Seminole,FL,308,287529,17518,84.6,26.3,5.3,6.1,17885,5142,3
166,Richland,SC,757,285720,24101,79.4,28,10.1,4.6,17137,4896,3
167,Hamilton,TN,543,285536,23532,72.5,19.7,10.2,5.9,18242,5209,3
168,Washtenaw,MI,710,282937,19367,87.2,41.9,6.4,6,22782,6446,2
169,Lane,OR,4554,282912,16091,83,22.2,9.4,6.5,15701,4442,4
170,Ingham,MI,559,281912,17337,83.9,29.2,11,6.9,17458,4922,2
171,Pasco,FL,745,281131,12509,66.9,9.1,7.9,8.3,13944,3920,3
172,Clackamas,OR,1868,278850,12855,85.7,23.6,4.7,4.2,19942,5561,4
173,Sarasota,FL,572,277776,19801,81.3,21.9,4.6,5.1,24948,6930,3
174,Erie,PA,802,275572,9936,77.5,16.2,9.5,7.1,16331,4500,1
175,Dakota,MN,570,275227,10953,90.7,27.6,3.3,4.7,21123,5814,2
176,Cumberland,NC,653,274566,25247,80.3,16.6,12.1,6.4,12923,3548,3
177,Denton,TX,889,273525,20372,86.8,32.3,4.5,5.6,17801,4869,3
178,Lorain,OH,493,271126,9864,75.3,12.3,9.1,9.5,16006,4340,2
179,Forsyth,NC,410,265878,21554,77.6,24.1,7.8,4.4,20645,5489,3
180,Rockland,NY,174,265475,7194,83.3,33,4.1,5.3,26757,7103,1
181,Adams,CO,1192,265038,19369,78.8,13,8.8,5,16116,4271,4
182,Mahoning,OH,415,264806,13181,74.6,14,12.8,6.7,16256,4305,2
183,Collin,TX,848,264036,17625,88.3,39.1,3.9,5.9,22303,5889,3
184,Utah,UT,1998,263590,10605,87.9,26.2,10.6,4.3,11467,3023,4
185,St._Clair,IL,664,262852,14563,72.6,14.7,13.9,8.4,16190,4256,2
186,Escambia,FL,664,262798,14380,76.2,18.2,13.3,5.8,15392,4045,3
187,Norfolk_City,VA,54,261229,25194,72.7,16.8,15.1,6.4,16412,4287,3
188,Cameron,TX,906,260120,18842,50,12,33.7,12.5,9728,2530,3
189,Dutchess,NY,802,259462,9087,79.8,24.8,3.6,5.1,22173,5753,1
190,New_London,CT,666,254957,7807,80.9,21.8,4.7,6.8,20259,5165,1
191,Washoe,NV,6343,254667,18831,82.5,20.7,6.3,5,21327,5431,4
192,Hinds,MS,869,254441,28841,75.2,26.4,16.7,6.3,16215,4126,3
193,Winnebago,IL,514,252913,19674,76.3,16.7,7.7,7.9,18376,4648,2
194,Oneida,NY,1213,250836,9234,75.1,16.7,8.8,6.7,16477,4133,1
195,Madison,IL,725,249238,10666,75.8,14.4,8.5,7.9,17980,4481,2
196,Caddo,LA,882,248253,22091,73.4,18.2,19.1,7.1,16337,4056,3
197,Northampton,PA,374,247105,6452,73.1,16.7,4.9,6.8,18336,4531,1
198,St._Joseph,IN,457,247052,10637,76.1,19.2,7.1,5.7,17211,4252,2
199,Rockingham,NH,695,245845,7295,86.2,25.9,3.2,8,21770,5352,1
200,Cumberland,ME,836,243135,13816,85,27.6,5.7,5.7,21362,5194,1
201,Somerset,NJ,305,240279,8308,86.3,38.3,1.4,4.1,33180,7972,1
202,Jefferson,TX,904,239397,21677,74.4,15.5,15.5,6.7,17418,4170,3
203,Madison,AL,805,238912,6635,80.2,30.1,8.4,5.2,18990,4537,3
204,Clark,WA,628,238053,10706,83.9,16.8,7,6.6,16790,3997,4
205,Dauphin,PA,525,237813,11563,77.6,18.6,7.2,5.5,18348,4363,1
206,Marin,CA,520,230096,9460,91.9,44,3,4,37541,8638,4
207,Gloucester,NJ,325,230082,9746,77.5,18.1,4.7,7.1,18523,4262,1
208,Santa_Cruz,CA,446,229734,13707,81.9,29.7,6.2,8,22025,5060,4
209,Marion,OR,1185,228483,14825,78.7,17.5,9.4,5.7,16022,3661,4
210,Trumbull,OH,616,227813,7315,75.2,11.4,9.4,7.9,16144,3678,2
211,Spartanburg,SC,811,226800,17198,63,14.3,8.8,5.5,15776,3578,3
212,Fort_Bend,TX,875,225421,9433,80.9,30.2,6.9,3.8,18301,4125,3
213,Fayette,KY,285,225366,17378,80.2,30.6,10.2,3.8,19320,4354,3
214,Boulder,CO,743,225339,14124,91.3,42.1,5.6,3.5,21421,4827,4
215,Atlantic,NJ,561,224327,25167,72.9,16.4,6.4,8.3,24035,5392,1
216,Kalamazoo,MI,562,223411,15306,83.4,27.1,8.9,5.9,18288,4086,2
217,Lubbock,TX,900,222636,14509,74.2,23.4,13.2,5.6,15443,3438,3
218,Niagara,NY,523,220756,9437,75.8,13.6,8.6,8.3,16647,3675,1
219,Lackawanna,PA,459,219039,4368,73.3,14.8,7.8,7.9,16963,3716,1
220,Galveston,TX,399,217399,18586,75.8,19.3,12.5,7,17744,3858,3
221,San_Luis_Obispo,CA,3305,217162,8103,83.3,22.9,6.8,5.8,17221,3740,4
222,Chatham,GA,440,216935,18732,73.7,18.6,13.6,4.3,17776,3856,3
223,Prince_William_County,VA,338,215686,9001,87.8,27.6,2.3,4.3,20543,4431,3
224,Lake,OH,228,215499,5481,81.1,17.5,3.6,5.7,19692,4244,2
225,Lancaster,NE,839,213641,16414,88.1,27.6,6,2.2,17816,3806,2
226,St._Charles,MO,561,212907,7785,83.3,21.2,3.5,6.4,18753,3993,2
227,Broome,NY,707,212160,7435,78.9,20.7,6.5,5.9,18058,3831,1
228,Saginaw,MI,809,211946,16190,74.8,13,14.7,8.8,16904,3583,2
229,Manatee,FL,741,211707,16916,75.6,15.5,6.8,5.8,17997,3810,3
230,Montgomery,AL,790,209085,17388,75.3,24.2,14.1,5.9,17469,3653,3
231,Greene,MO,675,207949,13551,78.9,20.7,9.2,4.8,16630,3458,2
232,Kanawha,WV,903,207619,10246,72.4,17.6,12.3,7.5,17192,3569,3
233,Ada,ID,1055,205775,9701,87.2,24.9,6.2,4.1,18786,3866,4
234,Washington,PA,857,204584,4526,73.2,13.6,9.7,7,16625,3401,1
235,St._Louis,MN,6226,198213,7518,80.3,17.3,9.7,6.5,15419,3056,2
236,Cumberland,PA,550,195257,5247,81,22.9,2.8,4.6,19254,3759,1
237,Marion,FL,1579,194833,14860,69.6,11.5,10.8,8.6,13802,2689,3
238,Brown,WI,529,194594,8101,82.6,17.7,6.7,4.6,18490,3598,2
239,Leon,FL,667,192493,23363,84.9,37.1,9.4,3.9,16422,3161,3
240,Brazoria,TX,1387,191707,8692,75.5,15.1,7.7,5.6,17951,3441,3
241,Bell,TX,1059,191088,10865,79.1,17.2,12.2,6.7,13536,2587,3
242,Kitsap,WA,396,189731,8996,86.6,19.8,7.5,5.2,17009,3227,4
243,Richmond,GA,324,189719,17918,70.9,17.3,14.8,4.9,15941,3024,3
244,McLennan,TX,1042,189123,16486,71.6,16.6,13.9,6.4,14925,2823,3
245,Yakima,WA,4296,188823,15139,66.1,13.7,15.6,11.6,15374,2903,4
246,Davis,UT,305,187941,6279,89.9,23.5,5.5,4.5,13394,2517,4
247,Ottawa,MI,566,187768,6140,79.8,18.7,3.8,6.5,18360,3447,2
248,Howard,MD,252,187328,9057,91.1,46.9,2.2,4.1,27546,5160,3
249,Barnstable,MA,396,186605,7441,88.4,28.1,5.8,11.1,23267,4342,1
250,Larimer,CO,2601,186136,8921,88.6,32.3,6.6,4.1,17140,3190,4
251,Beaver,PA,435,186093,4088,74.9,11.9,10.8,9.7,15162,2822,1
252,McHenry,IL,604,183241,4854,84.5,21,2.5,7.1,21855,4005,2
253,Peoria,IL,620,182827,12483,77.9,19.5,11.3,7.2,18342,3353,2
254,Montgomery,TX,1044,182201,9469,75.5,19.4,9.4,5.5,17084,3113,3
255,Harford,MD,440,182132,6735,81.6,21.5,4.1,6.7,20941,3814,3
256,Butte,CA,1640,182120,8939,77.6,19.5,12.2,9.4,15051,2741,4
257,Clayton,GA,143,182052,15419,77.2,14.7,7.3,5.8,16171,2944,3
258,Durham,NC,291,181835,15477,78.9,33.4,8.7,3.6,19238,3498,3
259,Alachua,FL,874,181596,18218,82.7,34.6,14.4,4.2,16058,2916,3
260,Saratoga,NY,812,181276,5281,83,25.2,4.4,5.9,18857,3418,1
261,Muscogee,GA,216,179278,11454,71.5,16.6,14.9,4.6,15505,2780,3
262,Merced,CA,1929,178403,8587,63.1,12,15.4,14.6,13961,2491,4
263,Sangamon,IL,868,178386,11929,81.8,22.4,7.2,4.8,19601,3497,2
264,Gaston,NC,357,175093,11865,60.9,10.8,8.2,6.2,16319,2857,3
265,Racine,WI,333,175034,11110,76.4,16.5,7.9,6.5,18426,3225,2
266,Buncombe,NC,656,174821,9512,74.5,19.1,8.2,4.9,16934,2960,3
267,Cleveland,OK,536,174253,12194,83.9,25.9,7,4.8,14443,2517,3
268,Litchfield,CT,920,174092,3593,80.9,25,2.4,7,25161,4380,1
269,Champaign,IL,997,173025,11508,87.5,34.1,8,4.5,16957,2934,2
270,Placer,CA,1404,172796,8904,85.1,22.7,5.3,6.8,20168,3485,4
271,Jefferson,MO,657,171380,3128,71.6,9,6,8.7,15896,2724,2
272,Arlington_County,VA,26,170936,12526,87.5,52.3,4.3,3.6,30242,5169,3
273,Newport_News_City,VA,68,170045,11776,79.3,18.4,12.2,6.5,15327,2606,3
274,Calcasieu,LA,1071,168134,6399,70.3,14.7,15.5,7.8,14968,2517,3
275,Lexington,SC,701,167611,9814,77.3,21,6.3,4.1,18126,3038,3
276,Harrison,MS,581,165365,7043,74.7,16.3,15.4,6.7,13691,2264,3
277,Ulster,NY,1127,165304,4701,76.6,21.6,5.6,5.9,18824,3112,1
278,Vanderburgh,IN,235,165058,8405,75.2,16,9.1,5.7,18093,2986,2
279,Lafayette,LA,270,164762,10599,73.3,22.5,16.2,5,16868,2779,3
280,York,ME,991,164587,6027,79.5,19,4.7,6.9,17908,2947,1
281,Cambria,PA,688,163029,3187,71.2,10.8,11.2,9.2,14473,2360,1
282,Wyandotte,KS,151,161993,18902,69.9,10.3,13.9,7.4,14134,2290,2
283,Berrien,MI,571,161378,12229,74.7,16.7,11.6,9.1,16232,2619,2
284,Thurston,WA,727,161238,7882,86.5,24.7,7.1,5.9,17312,2791,4
285,Kent,RI,170,161135,7302,76.8,20.5,3.7,8.6,20086,3237,1
286,Shawnee,KS,550,160976,13845,84.4,22.3,7.4,4.7,19558,3148,2
287,Muskegon,MI,509,158983,12181,74.2,11.1,12.4,12,14767,2348,2
288,Weber,UT,576,158330,9191,82.5,18,7.8,5.7,15301,2423,4
289,Elkhart,IN,464,156198,7573,72.8,14.2,5.3,6.4,16770,2619,2
290,Rensselaer,NY,654,154429,5297,77.7,19.5,6.6,6.3,17774,2745,1
291,Clay,MO,397,153411,11085,84.7,20,4.2,5.7,18395,2822,2
292,Schuylkill,PA,779,152585,2119,68.4,8.1,7.7,9.7,15853,2419,1
293,Lake,FL,953,152104,7099,70.6,12.7,7.9,8.9,17496,2661,3
294,Collier,FL,2026,152099,9426,79,22.3,6.4,7.5,25589,3892,3
295,Butler,PA,789,152013,3420,78.6,15.6,7.1,6.8,17251,2622,1
296,Chesapeake_City,VA,341,151976,8427,77.1,16.9,7,6.1,16924,2572,3
297,Smith,TX,929,151309,11712,75.7,19.8,12.6,6.6,17511,2650,3
298,Tuscaloosa,AL,1325,150522,12377,69.6,20,13.5,5.4,15113,2275,3
299,Frederick,MD,663,150208,4939,80.4,22,3.5,6,19954,2997,3
300,Clermont,OH,452,150187,5114,72.8,14.5,7.4,6,16231,2438,2
301,St._Lucie,FL,573,150171,9842,71.7,13.1,8.5,13.8,14137,2123,3
302,Bibb,GA,250,149967,12701,68.2,17,15.9,4.1,17548,2632,3
303,Onslow,NC,767,149838,7505,83,13.4,9.8,5.6,10190,1527,3
304,Jackson,MI,707,149756,8630,77.7,12.9,9.4,9.9,15750,2359,2
305,Schenectady,NY,206,149285,6364,80.7,23,5.7,5.6,20679,3087,1
306,Rock_Island,IL,427,148723,7154,77.4,15,10.2,7.5,17818,2650,2
307,Clark,OH,400,147548,10131,73.4,12.2,10.4,6.5,16676,2461,2
308,Shasta,CA,3786,147036,7336,78.4,13.7,11,10.3,16277,2393,4
309,Penobscot,ME,3396,146601,4749,79.1,17.7,9.5,8,15521,2275,1
310,Hampshire,MA,529,146568,2547,83,31.9,5.7,7.7,17853,2617,1
311,Jackson,OR,2785,146389,7170,80.1,17.6,9.7,7.6,15582,2281,4
312,Washington,MN,392,145896,5365,90,26.2,3.6,4.6,20682,3017,2
313,St._Clair,MI,725,145607,6568,74.8,10.7,9.2,11.8,17480,2545,2
314,Fayette,PA,790,145351,3612,67.8,9.3,17.6,9.4,14051,2042,1
315,Anderson,SC,718,145196,7525,64,12.9,8.6,6.6,14205,2063,3
316,St._Tammany,LA,854,144508,4447,76.9,23.1,11.1,6.2,17129,2475,3
317,Horry,SC,1134,144053,12459,74.3,16,11.6,7.7,14693,2117,3
318,Okaloosa,FL,936,143776,5153,83.8,21,7.8,6.7,15803,2272,3
319,Sullivan,TN,413,143596,6236,66.8,15.6,10.4,4.4,15747,2261,3
320,Middlesex,CT,369,143196,3409,82.6,28.2,2.6,5.8,24132,3456,1
321,Portage,OH,492,142585,2769,79.3,17.6,7.6,6,16031,2286,2
322,Ouachita,LA,611,142191,10605,71.6,18.9,19.6,6.4,13869,1972,3
323,Kenton,KY,163,142031,6925,74.4,17,8.2,5.4,16935,2405,3
324,Chautauqua,NY,1062,141895,5178,74.4,14.2,9.9,7.7,15197,2156,1
325,Yolo,CA,1012,141092,10650,79.1,30.3,9.8,7.2,19727,2783,4
326,Outagamie,WI,640,140510,4860,81.5,16.7,4.6,4.9,17182,2414,2
327,Winnebago,WI,439,140320,6170,80.6,18.2,5.3,4.8,17645,2476,2
328,Williamson,TX,1124,139551,5724,81.4,24.6,7.6,3.8,14934,2084,3
329,Rock,WI,721,139510,7643,78.2,13.3,7.8,9.7,16742,2336,2
330,Berkshire,MA,931,139352,3862,77.9,20.9,6.3,10.1,20068,2797,1
331,Cumberland,NJ,489,138053,9071,63.4,10.8,10.2,10.7,16819,2322,1
